N_from,N_to,L_from,gain_pct
100000000.0,200000000.0,3.293625188621454,9.21
200000000.0,500000000.0,2.990274732651285,10.06
500000000.0,1000000000.0,2.6893106537053453,6.33
1000000000.0,2000000000.0,2.5189443561163336,5.28
2000000000.0,5000000000.0,2.386057184321065,5.53
5000000000.0,10000000000.0,2.2541256993763934,3.31
10000000000.0,20000000000.0,2.1794477086240036,2.67
