C,loss
2.0558971596900728e+18,3.3004424648947897
3.93360146377242e+18,3.108464556029377
7.99750935882534e+18,2.962954091342755
1.5753731022006288e+19,2.845487739252996
2.824494046355417e+19,2.736778556603052
5.362153673164827e+19,2.628284835801397
9.638582780528e+19,2.546878120316004
1.7522877872156135e+20,2.486552675770553
2.930178015323031e+20,2.398733033445379
5.870141868383024e+20,2.331416878272676
9.76866315811358e+20,2.286445840825226
1.7950361606125186e+21,2.249076295522973
2.9558018830090366e+21,2.205693537488266
