N,D,C_flop,loss,tokens_per_param,source
57334197.40687078,16860179357.421824,5.799989109562024e+18,3.1601132738955617,294.0684638484421,Hoffmann2022_reconstructed_Besiroglu2024
73824671.6486735,13025761903.49002,5.769735572993707e+18,3.094521210858053,176.44185355105566,Hoffmann2022_reconstructed_Besiroglu2024
73824671.6486735,3154403320.4849367,1.3972367362937152e+18,3.4059279641864757,42.72830816636102,Hoffmann2022_reconstructed_Besiroglu2024
73824671.6486735,6525600926.154306,2.890502074101728e+18,3.222268068835837,88.3932265518117,Hoffmann2022_reconstructed_Besiroglu2024
73824689.09803498,25181340209.242306,1.1154027672114962e+19,3.048504933511402,341.0964613180141,Hoffmann2022_reconstructed_Besiroglu2024
73824689.09803498,11889322927.187826,5.266353412114683e+18,3.108464556029377,161.0480595644566,Hoffmann2022_reconstructed_Besiroglu2024
89818213.72558393,3276303602.2195783,1.7656304230443515e+18,3.325255034889082,36.47705143891491,Hoffmann2022_reconstructed_Besiroglu2024
89818277.41448976,6531630408.599402,3.5199587520509896e+18,3.1838780021322792,72.72050407354727,Hoffmann2022_reconstructed_Besiroglu2024
89818341.10344076,12673387984.702515,6.829816109677549e+18,3.048504933511402,141.10022328409516,Hoffmann2022_reconstructed_Besiroglu2024
105811837.49604878,13708660436.366491,8.703231302287945e+18,2.998680336233436,129.5569641428673,Hoffmann2022_reconstructed_Besiroglu2024
105811837.49604878,7474566798.942707,4.745385884898523e+18,3.094521210858053,70.64017576692987,Hoffmann2022_reconstructed_Besiroglu2024
105811837.49604878,3238291052.528101,2.0558971596900728e+18,3.3004424648947897,30.60424172908844,Hoffmann2022_reconstructed_Besiroglu2024
105811987.55564724,13080500392.227232,8.30444246834392e+18,2.998680336233436,123.62021255245875,Hoffmann2022_reconstructed_Besiroglu2024
116713554.48183718,4094456456.4032526,2.8672714001875866e+18,3.1982167939721484,35.08124205951098,Hoffmann2022_reconstructed_Besiroglu2024
116713582.06850936,7776291425.714669,5.445592965022768e+18,3.07143034313885,66.62713360258353,Hoffmann2022_reconstructed_Besiroglu2024
116713664.82856458,15420664230.992733,1.0798813418939523e+19,2.949663448686964,132.12389700591999,Hoffmann2022_reconstructed_Besiroglu2024
139739645.58438575,4066934246.743103,3.4098717015292923e+18,3.131833845205492,29.103653653444894,Hoffmann2022_reconstructed_Besiroglu2024
139739645.58438575,6442497798.9577875,5.401634154627279e+18,3.057653118830149,46.10357906673881,Hoffmann2022_reconstructed_Besiroglu2024
139739645.58438575,10823481093.385878,9.074816471874256e+18,2.976297938663035,77.4546196115104,Hoffmann2022_reconstructed_Besiroglu2024
139739744.67191777,31921090027.99672,2.676386982096937e+19,2.836974331044393,228.43243418643237,Hoffmann2022_reconstructed_Besiroglu2024
139739744.67191777,8154305321.002163,6.836883261202216e+18,3.012185078911002,58.3535152446923,Hoffmann2022_reconstructed_Besiroglu2024
139739843.75952017,29544450178.392532,2.4771221111337e+19,2.836974331044393,211.42466875257068,Hoffmann2022_reconstructed_Besiroglu2024
139739843.75952017,16376707817.679005,1.373087155042666e+19,2.905801241228892,117.19426168718108,Hoffmann2022_reconstructed_Besiroglu2024
162765880.3332718,4027872688.180678,3.93360146377242e+18,3.108464556029377,24.746419089390198,Hoffmann2022_reconstructed_Besiroglu2024
162765995.74840203,8189168876.104,7.99750935882534e+18,2.962954091342755,50.31252896804398,Hoffmann2022_reconstructed_Besiroglu2024
162766111.163614,32765390179.69966,3.199857084184909e+19,2.790606978320643,201.30351426018643,Hoffmann2022_reconstructed_Besiroglu2024
174942805.3902319,5349875520.4024725,5.615533392166412e+18,3.048504933511402,30.580711841615337,Hoffmann2022_reconstructed_Besiroglu2024
174942805.3902319,8909294720.755877,9.351702074984495e+18,2.940838357413416,50.92689979952348,Hoffmann2022_reconstructed_Besiroglu2024
174942929.4398582,26730113234.142952,2.805746588064054e+19,2.803174649739657,152.79333277274415,Hoffmann2022_reconstructed_Besiroglu2024
174942929.4398582,4907110610.106536,5.150785831304684e+18,3.048504933511402,28.049779581366277,Hoffmann2022_reconstructed_Besiroglu2024
174943053.48957258,9514050970.098192,9.986502766586448e+18,2.940838357413416,54.38370246958833,Hoffmann2022_reconstructed_Besiroglu2024
